true_label,object_index,pred_label,offset_theta,offset_phi,n_views
bathtub,0107,bathtub,60,120,10
bathtub,0108,bathtub,30,150,8
bathtub,0109,bathtub,0,0,8
bathtub,0110,bathtub,-180,0,8
bathtub,0111,sofa,-90,90,8
bathtub,0112,bathtub,30,150,7
bathtub,0113,bathtub,-180,180,8
bathtub,0114,bathtub,-210,210,9
bathtub,0115,bathtub,30,60,8
bathtub,0116,bathtub,0,180,8
bathtub,0117,bathtub,-180,150,8
bathtub,0118,bathtub,0,180,8
bathtub,0119,bathtub,0,0,9
bathtub,0120,bathtub,-90,90,8
bathtub,0121,bathtub,-180,0,8
bathtub,0122,bathtub,0,180,7
bathtub,0123,bathtub,-240,60,8
bathtub,0124,bathtub,30,-30,7
bathtub,0125,bathtub,30,-30,8
bathtub,0126,bathtub,0,0,8
bathtub,0127,table,0,300,8
bathtub,0128,bathtub,0,180,8
bathtub,0129,bathtub,-240,-30,8
bathtub,0130,bathtub,0,0,8
bathtub,0131,bathtub,0,0,8
bathtub,0132,bathtub,30,150,8
bathtub,0133,bathtub,30,150,8
bathtub,0134,bathtub,30,-120,8
bathtub,0135,bathtub,0,0,6
bathtub,0136,bathtub,-30,210,10
bathtub,0137,bathtub,30,-30,8
bathtub,0138,bathtub,0,180,7
bathtub,0139,bathtub,30,-30,8
bathtub,0140,bathtub,0,0,6
bathtub,0141,bathtub,30,150,8
bathtub,0142,bathtub,-210,30,9
bathtub,0143,bathtub,0,180,8
bathtub,0144,bathtub,-210,30,8
bathtub,0145,toilet,0,0,7
bathtub,0146,bathtub,-90,90,8
bathtub,0147,bathtub,0,180,8
bathtub,0148,toilet,-210,0,9
bathtub,0149,bathtub,0,0,8
bathtub,0150,bathtub,-210,30,9
bathtub,0151,bathtub,0,210,8
bathtub,0152,bathtub,0,180,8
bathtub,0153,bathtub,-210,0,6
bathtub,0154,bathtub,0,0,8
bathtub,0155,bathtub,0,180,8
bathtub,0156,bathtub,-210,210,8
bed,0516,bed,-240,60,7
bed,0517,bed,30,150,8
bed,0518,bed,30,-30,8
bed,0519,table,30,-30,8
bed,0520,bed,0,180,8
bed,0521,bed,30,-30,8
bed,0522,bed,30,-30,8
bed,0523,bed,-240,60,8
bed,0524,bed,30,-30,8
bed,0525,bed,30,-30,8
bed,0526,bed,30,-30,8
bed,0527,bed,30,150,8
bed,0528,bed,30,-30,8
bed,0529,bed,30,-30,8
bed,0530,bed,30,-30,8
bed,0531,bed,30,-30,7
bed,0532,bed,30,150,8
bed,0533,bed,-240,240,8
bed,0534,bed,30,-30,8
bed,0535,bed,-240,240,8
bed,0536,bed,30,-30,8
bed,0537,sofa,0,180,8
bed,0538,bed,30,-30,8
bed,0539,bed,0,150,8
bed,0540,bed,30,-30,8
bed,0541,bed,30,-30,8
bed,0542,bed,30,150,8
bed,0543,bed,30,-30,8
bed,0544,bed,30,-30,8
bed,0545,bed,30,-30,8
bed,0546,sofa,30,-30,8
bed,0547,bed,-240,240,8
bed,0548,bed,30,-30,8
bed,0549,bed,30,-30,8
bed,0550,bed,30,-30,8
bed,0551,bed,30,-30,8
bed,0552,bed,30,-30,8
bed,0553,bed,30,-30,8
bed,0554,bed,0,180,8
bed,0555,bed,30,-30,8
bed,0556,bed,30,-30,8
bed,0557,bed,30,-30,8
bed,0558,bed,-240,60,8
bed,0559,bed,30,-30,8
bed,0560,bed,0,180,8
bed,0561,bed,-240,240,8
bed,0562,table,0,0,8
bed,0563,bed,30,-30,8
bed,0564,bed,0,180,8
bed,0565,bed,30,-30,8
bed,0566,sofa,30,-30,8
bed,0567,bed,30,60,8
bed,0568,bed,30,-30,8
bed,0569,bed,-240,240,8
bed,0570,bed,30,-30,8
bed,0571,bed,30,150,8
bed,0572,bed,-90,90,8
bed,0573,bed,30,-30,8
bed,0574,bed,30,-30,8
bed,0575,bed,30,-30,8
bed,0576,bed,-90,90,8
bed,0577,bed,30,150,8
bed,0578,bed,-240,240,8
bed,0579,bed,30,-30,8
bed,0580,bed,30,-30,8
bed,0581,bed,0,0,8
bed,0582,bed,-240,240,8
bed,0583,bed,-90,90,8
bed,0584,bed,-90,90,8
bed,0585,bed,30,-30,8
bed,0586,bed,30,-30,8
bed,0587,bed,-240,240,8
bed,0588,bed,30,-30,8
bed,0589,bed,30,-30,8
bed,0590,bed,30,150,8
bed,0591,bed,-240,240,8
bed,0592,bed,30,-30,8
bed,0593,bed,30,-30,8
bed,0594,bed,30,-30,8
bed,0595,bed,0,0,8
bed,0596,bed,30,-30,8
bed,0597,bed,0,0,8
bed,0598,chair,30,-150,8
bed,0599,bed,-90,90,8
bed,0600,bed,30,-30,8
bed,0601,bed,-240,240,8
bed,0602,bed,30,-30,8
bed,0603,bed,-90,90,8
bed,0604,bed,30,150,8
bed,0605,bed,-240,240,8
bed,0606,bed,0,0,8
bed,0607,bed,-90,90,8
bed,0608,bed,30,-30,8
bed,0609,bed,30,-30,8
bed,0610,bed,30,150,8
bed,0611,bed,30,-30,8
bed,0612,bed,30,-30,8
bed,0613,bed,30,-30,8
bed,0614,bed,30,-30,7
bed,0615,bed,30,-30,8
chair,0890,chair,0,0,7
chair,0891,chair,0,0,5
chair,0892,chair,0,0,6
chair,0893,chair,0,60,8
chair,0894,chair,-60,60,7
chair,0895,chair,0,-120,10
chair,0896,chair,30,-30,8
chair,0897,chair,30,-30,9
chair,0898,chair,0,270,5
chair,0899,chair,0,0,7
chair,0900,chair,-150,150,7
chair,0901,chair,0,0,7
chair,0902,chair,-150,150,8
chair,0903,chair,-240,240,8
chair,0904,chair,-240,240,6
chair,0905,chair,0,30,4
chair,0906,chair,-240,240,8
chair,0907,chair,0,0,6
chair,0908,chair,0,0,7
chair,0909,chair,-60,60,8
chair,0910,chair,0,0,5
chair,0911,chair,-60,60,8
chair,0912,chair,0,0,6
chair,0913,chair,30,-30,9
chair,0914,chair,0,90,8
chair,0915,chair,0,90,7
chair,0916,chair,30,-30,8
chair,0917,chair,-150,150,8
chair,0918,chair,0,0,7
chair,0919,chair,-60,90,7
chair,0920,chair,0,0,8
chair,0921,chair,-60,60,7
chair,0922,chair,0,0,6
chair,0923,chair,0,0,6
chair,0924,chair,0,0,5
chair,0925,chair,0,0,8
chair,0926,chair,-210,30,8
chair,0927,chair,-150,150,7
chair,0928,chair,0,0,8
chair,0929,chair,30,-30,6
chair,0930,chair,0,0,5
chair,0931,chair,30,-30,6
chair,0932,chair,0,0,6
chair,0933,chair,0,0,7
chair,0934,chair,30,-30,9
chair,0935,chair,0,-90,10
chair,0936,chair,-60,60,6
chair,0937,chair,0,0,7
chair,0938,chair,0,0,7
chair,0939,chair,0,0,7
chair,0940,chair,30,-30,7
chair,0941,chair,30,-30,8
chair,0942,chair,30,-30,8
chair,0943,chair,0,0,7
chair,0944,chair,0,0,8
chair,0945,chair,-60,60,6
chair,0946,chair,30,-120,8
chair,0947,chair,0,0,6
chair,0948,chair,0,0,6
chair,0949,chair,0,0,6
chair,0950,chair,0,0,6
chair,0951,chair,0,0,7
chair,0952,chair,0,270,6
chair,0953,chair,0,0,8
chair,0954,chair,0,30,6
chair,0955,chair,0,90,7
chair,0956,chair,-60,60,6
chair,0957,chair,-60,60,8
chair,0958,chair,30,-30,7
chair,0959,chair,-60,60,6
chair,0960,chair,30,-30,8
chair,0961,chair,-60,60,8
chair,0962,chair,-60,60,7
chair,0963,chair,0,0,5
chair,0964,chair,0,0,6
chair,0965,chair,0,90,7
chair,0966,chair,0,0,7
chair,0967,chair,0,0,9
chair,0968,chair,-60,60,8
chair,0969,chair,30,-30,8
chair,0970,chair,0,0,6
chair,0971,chair,0,30,6
chair,0972,chair,-150,150,8
chair,0973,toilet,0,0,8
chair,0974,chair,30,-30,8
chair,0975,chair,-60,60,9
chair,0976,chair,30,60,8
chair,0977,chair,0,0,8
chair,0978,chair,-60,60,8
chair,0979,chair,0,0,6
chair,0980,chair,30,-30,6
chair,0981,chair,-60,60,8
chair,0982,chair,0,0,6
chair,0983,chair,0,0,8
chair,0984,chair,0,0,6
chair,0985,chair,0,0,9
chair,0986,chair,-150,150,7
chair,0987,chair,-150,150,8
chair,0988,chair,-240,240,6
chair,0989,chair,0,0,7
desk,0201,chair,30,150,8
desk,0202,table,-180,180,8
desk,0203,desk,-180,180,8
desk,0204,chair,0,180,8
desk,0205,desk,30,150,6
desk,0206,desk,0,0,8
desk,0207,table,0,0,8
desk,0208,table,-90,90,8
desk,0209,desk,0,0,6
desk,0210,table,30,150,8
desk,0211,desk,-180,180,8
desk,0212,desk,0,150,7
desk,0213,desk,0,180,7
desk,0214,desk,0,0,7
desk,0215,desk,30,150,7
desk,0216,desk,0,0,7
desk,0217,dresser,0,0,6
desk,0218,table,30,150,8
desk,0219,desk,-150,150,8
desk,0220,desk,-240,150,8
desk,0221,table,30,150,8
desk,0222,desk,0,300,8
desk,0223,desk,0,180,7
desk,0224,table,-180,180,8
desk,0225,desk,-180,180,8
desk,0226,desk,-180,180,8
desk,0227,desk,0,180,7
desk,0228,desk,30,150,7
desk,0229,desk,-180,180,8
desk,0230,desk,30,-30,7
desk,0231,desk,30,150,7
desk,0232,desk,-180,180,8
desk,0233,chair,0,-90,8
desk,0234,table,30,240,8
desk,0235,desk,30,-30,8
desk,0236,desk,30,-30,8
desk,0237,desk,-180,180,8
desk,0238,desk,0,0,8
desk,0239,desk,-180,180,8
desk,0240,desk,0,0,7
desk,0241,desk,30,-30,7
desk,0242,table,0,0,8
desk,0243,desk,-210,-60,7
desk,0244,desk,30,60,8
desk,0245,desk,0,-90,8
desk,0246,desk,-180,180,8
desk,0247,desk,30,270,6
desk,0248,desk,30,-30,9
desk,0249,desk,-180,180,8
desk,0250,desk,-180,180,7
desk,0251,table,-180,180,8
desk,0252,chair,-240,240,5
desk,0253,desk,30,150,8
desk,0254,table,30,150,8
desk,0255,desk,30,-30,8
desk,0256,desk,-180,180,8
desk,0257,desk,-180,180,8
desk,0258,desk,-180,180,8
desk,0259,dresser,0,-90,6
desk,0260,desk,0,180,6
desk,0261,desk,0,0,8
desk,0262,desk,-180,180,8
desk,0263,sofa,-180,180,8
desk,0264,desk,-240,240,8
desk,0265,night_stand,-210,30,8
desk,0266,monitor,30,-30,6
desk,0267,desk,0,300,8
desk,0268,night_stand,-210,210,8
desk,0269,desk,0,180,7
desk,0270,table,-180,180,8
desk,0271,sofa,-180,180,8
desk,0272,desk,0,0,8
desk,0273,monitor,-90,90,8
desk,0274,desk,30,150,6
desk,0275,desk,0,180,8
desk,0276,desk,0,0,7
desk,0277,desk,0,0,7
desk,0278,desk,30,150,8
desk,0279,chair,0,-90,7
desk,0280,desk,-180,0,8
desk,0281,desk,0,0,7
desk,0282,desk,0,0,8
desk,0283,desk,0,0,8
desk,0284,desk,0,0,7
desk,0285,desk,0,180,6
desk,0286,desk,-180,180,8
dresser,0201,night_stand,30,-30,5
dresser,0202,dresser,-210,210,5
dresser,0203,dresser,30,150,6
dresser,0204,dresser,-240,240,5
dresser,0205,dresser,30,-30,5
dresser,0206,dresser,-210,210,5
dresser,0207,dresser,30,-60,6
dresser,0208,dresser,30,150,5
dresser,0209,dresser,30,-30,5
dresser,0210,dresser,30,150,5
dresser,0211,dresser,30,-30,5
dresser,0212,dresser,30,150,5
dresser,0213,dresser,-240,-30,5
dresser,0214,dresser,30,150,5
dresser,0215,dresser,30,150,5
dresser,0216,dresser,0,180,6
dresser,0217,dresser,30,150,5
dresser,0218,dresser,-240,240,6
dresser,0219,dresser,-210,210,5
dresser,0220,dresser,30,150,7
dresser,0221,dresser,-210,210,5
dresser,0222,dresser,-240,240,6
dresser,0223,dresser,-210,210,5
dresser,0224,dresser,0,-90,6
dresser,0225,dresser,30,-30,5
dresser,0226,dresser,-240,240,6
dresser,0227,dresser,-210,30,5
dresser,0228,dresser,30,150,5
dresser,0229,dresser,-240,240,5
dresser,0230,dresser,-240,150,5
dresser,0231,dresser,30,150,5
dresser,0232,dresser,0,180,6
dresser,0233,desk,30,240,8
dresser,0234,dresser,-240,240,5
dresser,0235,dresser,30,-30,6
dresser,0236,dresser,-210,210,5
dresser,0237,dresser,0,0,7
dresser,0238,dresser,30,-30,6
dresser,0239,dresser,30,150,5
dresser,0240,dresser,-210,210,7
dresser,0241,dresser,30,150,6
dresser,0242,dresser,30,-30,5
dresser,0243,dresser,30,150,5
dresser,0244,night_stand,0,0,7
dresser,0245,dresser,30,-30,5
dresser,0246,dresser,-210,210,5
dresser,0247,dresser,-240,150,5
dresser,0248,dresser,-210,210,5
dresser,0249,dresser,0,0,7
dresser,0250,night_stand,-210,210,5
dresser,0251,dresser,-210,210,5
dresser,0252,dresser,30,-30,5
dresser,0253,dresser,-210,-60,5
dresser,0254,dresser,0,180,7
dresser,0255,dresser,30,150,5
dresser,0256,dresser,30,150,5
dresser,0257,dresser,0,0,7
dresser,0258,bathtub,30,-30,8
dresser,0259,night_stand,0,0,7
dresser,0260,dresser,0,0,6
dresser,0261,dresser,-240,270,5
dresser,0262,dresser,30,-30,5
dresser,0263,dresser,30,-30,5
dresser,0264,dresser,30,150,5
dresser,0265,dresser,-240,150,6
dresser,0266,dresser,-240,-30,5
dresser,0267,dresser,30,-30,5
dresser,0268,dresser,-240,150,5
dresser,0269,night_stand,30,-30,5
dresser,0270,monitor,30,150,5
dresser,0271,dresser,30,90,5
dresser,0272,night_stand,-180,180,8
dresser,0273,monitor,-210,210,6
dresser,0274,dresser,30,150,6
dresser,0275,dresser,30,150,5
dresser,0276,dresser,30,-30,5
dresser,0277,dresser,30,-30,5
dresser,0278,dresser,-210,210,5
dresser,0279,dresser,30,150,7
dresser,0280,dresser,0,0,6
dresser,0281,dresser,-210,210,5
dresser,0282,dresser,0,180,7
dresser,0283,dresser,30,240,5
dresser,0284,dresser,-210,210,5
dresser,0285,night_stand,-210,210,7
dresser,0286,dresser,0,0,6
monitor,0466,monitor,30,210,5
monitor,0467,monitor,-240,240,4
monitor,0468,monitor,-240,240,4
monitor,0469,monitor,-240,240,4
monitor,0470,monitor,-240,240,5
monitor,0471,monitor,-240,240,4
monitor,0472,monitor,30,180,5
monitor,0473,monitor,-240,240,5
monitor,0474,monitor,-240,240,4
monitor,0475,monitor,-240,240,4
monitor,0476,monitor,-240,240,4
monitor,0477,monitor,-240,60,4
monitor,0478,monitor,-240,60,4
monitor,0479,monitor,-240,240,4
monitor,0480,monitor,-240,240,4
monitor,0481,monitor,-240,240,5
monitor,0482,monitor,30,-30,6
monitor,0483,monitor,-240,240,5
monitor,0484,monitor,-240,240,5
monitor,0485,monitor,-240,240,4
monitor,0486,monitor,-240,240,5
monitor,0487,monitor,-240,240,5
monitor,0488,monitor,30,150,8
monitor,0489,monitor,30,-30,4
monitor,0490,monitor,30,150,5
monitor,0491,monitor,-240,0,5
monitor,0492,monitor,-240,240,6
monitor,0493,monitor,-240,60,4
monitor,0494,monitor,-240,270,4
monitor,0495,monitor,-240,240,4
monitor,0496,monitor,30,60,8
monitor,0497,monitor,-210,210,5
monitor,0498,monitor,30,-30,6
monitor,0499,monitor,-240,270,4
monitor,0500,monitor,-240,240,4
monitor,0501,monitor,30,150,5
monitor,0502,monitor,-240,240,4
monitor,0503,monitor,30,-30,5
monitor,0504,monitor,-240,240,5
monitor,0505,monitor,-240,240,4
monitor,0506,monitor,-240,270,5
monitor,0507,bed,30,60,7
monitor,0508,monitor,-240,240,4
monitor,0509,monitor,30,150,6
monitor,0510,monitor,-240,240,4
monitor,0511,monitor,-240,60,5
monitor,0512,monitor,-240,240,4
monitor,0513,monitor,-240,240,6
monitor,0514,monitor,-240,240,4
monitor,0515,monitor,-240,240,4
monitor,0516,monitor,-240,240,4
monitor,0517,monitor,-240,240,4
monitor,0518,monitor,-240,240,4
monitor,0519,monitor,-240,270,8
monitor,0520,monitor,-240,240,4
monitor,0521,monitor,-240,60,4
monitor,0522,monitor,30,180,4
monitor,0523,monitor,-240,240,4
monitor,0524,monitor,30,-30,6
monitor,0525,monitor,-240,240,4
monitor,0526,monitor,-240,60,4
monitor,0527,monitor,-240,240,4
monitor,0528,monitor,-240,240,4
monitor,0529,monitor,-240,60,4
monitor,0530,monitor,-240,240,4
monitor,0531,monitor,30,60,5
monitor,0532,monitor,-240,240,4
monitor,0533,monitor,-240,240,4
monitor,0534,monitor,-240,60,4
monitor,0535,monitor,-240,60,4
monitor,0536,monitor,-240,240,5
monitor,0537,monitor,-240,240,4
monitor,0538,monitor,-240,240,4
monitor,0539,monitor,-240,240,7
monitor,0540,monitor,-240,240,4
monitor,0541,monitor,30,-30,4
monitor,0542,monitor,-240,240,4
monitor,0543,monitor,-240,270,4
monitor,0544,monitor,-240,240,4
monitor,0545,monitor,-240,240,4
monitor,0546,monitor,-240,240,4
monitor,0547,monitor,-240,240,5
monitor,0548,monitor,-240,270,4
monitor,0549,monitor,-240,240,4
monitor,0550,monitor,-240,240,4
monitor,0551,monitor,-240,240,4
monitor,0552,monitor,-240,240,4
monitor,0553,monitor,-240,240,4
monitor,0554,monitor,-240,240,4
monitor,0555,monitor,-240,240,4
monitor,0556,monitor,-240,240,4
monitor,0557,monitor,-240,270,5
monitor,0558,monitor,-240,60,4
monitor,0559,monitor,-240,240,4
monitor,0560,monitor,30,-30,6
monitor,0561,monitor,30,-30,4
monitor,0562,monitor,-210,210,6
monitor,0563,monitor,-240,240,4
monitor,0564,monitor,-240,240,4
monitor,0565,monitor,-240,240,4
night_stand,0201,night_stand,30,60,8
night_stand,0202,night_stand,-210,210,5
night_stand,0203,bed,30,240,9
night_stand,0204,night_stand,30,-30,6
night_stand,0205,night_stand,30,240,8
night_stand,0206,night_stand,0,0,8
night_stand,0207,night_stand,-210,210,8
night_stand,0208,night_stand,-210,210,5
night_stand,0209,dresser,30,-30,5
night_stand,0210,dresser,30,150,5
night_stand,0211,monitor,-210,210,5
night_stand,0212,night_stand,30,60,8
night_stand,0213,night_stand,30,-30,8
night_stand,0214,night_stand,-210,-60,6
night_stand,0215,night_stand,30,-30,5
night_stand,0216,night_stand,30,-30,8
night_stand,0217,night_stand,30,-30,6
night_stand,0218,dresser,30,-30,6
night_stand,0219,night_stand,30,240,7
night_stand,0220,night_stand,-210,210,5
night_stand,0221,chair,0,180,5
night_stand,0222,dresser,30,150,5
night_stand,0223,night_stand,30,-30,5
night_stand,0224,dresser,-210,210,7
night_stand,0225,night_stand,-210,120,8
night_stand,0226,night_stand,30,-30,5
night_stand,0227,night_stand,30,-30,5
night_stand,0228,monitor,0,180,7
night_stand,0229,night_stand,30,60,8
night_stand,0230,night_stand,-210,210,6
night_stand,0231,dresser,0,0,7
night_stand,0232,night_stand,-210,210,7
night_stand,0233,monitor,0,-90,6
night_stand,0234,desk,30,-30,9
night_stand,0235,night_stand,-210,210,5
night_stand,0236,night_stand,-180,90,7
night_stand,0237,night_stand,30,-30,6
night_stand,0238,night_stand,30,150,9
night_stand,0239,night_stand,-210,30,7
night_stand,0240,night_stand,-210,210,6
